,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Trabd2b,0.9622,0.037799999999999945,3.236912972482433,5.404876e-05,8.282451e-06,0.0,0.25,2.7592282,2.8574734,2.6208923,-5.7110443,12.061784,0.4044323,0.104217425,0.22160664819944606,0.05702933985330184,0.56545395,0.07129414,True,3 vs Rest,3,Rest
Smo,0.9672,0.03280000000000005,3.3839764893716042,7.0013644e-05,1.4962411e-05,0.0,0.25,2.7575014,2.9115777,1.5423322,-2.2009373,7.51803,0.5567871,0.17665002,0.371191135734071,0.12866748166258887,0.72090423,0.11651456,True,3 vs Rest,3,Rest
Dkk3,0.9628,0.03720000000000001,3.2535366861990203,1.7710388e-05,5.1426923e-06,0.0,0.25,2.753907,2.8473935,2.6747305,-7.458395,12.390675,0.12465369,0.035574522,0.10803324099722995,0.022921760391197917,0.1642612,0.025405988,True,3 vs Rest,3,Rest
Kif16b,0.9628,0.03720000000000001,3.2535366861990203,6.9737114e-05,1.5289588e-05,0.0,0.25,2.749769,2.8688846,2.0781052,-4.7209473,8.213161,0.39612213,0.44816533,0.2631578947368421,0.2933985330073217,0.5337509,0.2871822,True,3 vs Rest,3,Rest
Sema6a,0.9694,0.03059999999999996,3.4556769979712687,0.00014796342,2.5450232e-05,0.0,0.25,2.738527,2.7825136,1.740374,-3.9098778,9.419638,1.1800545,0.30550063,0.47922437673129986,0.15715158924204917,1.5799513,0.20555168,True,3 vs Rest,3,Rest
Atad5,0.956,0.04400000000000004,3.078568062320689,3.3585613e-05,7.2074095e-06,0.0,0.25,2.7365863,2.6976328,2.2294996,-4.268939,11.340122,0.14681436,0.14792147,0.10526315789473688,0.1030562347188252,0.17615674,0.08119101,True,3 vs Rest,3,Rest
Tnfsf10,0.958,0.04200000000000004,3.127177932030695,0.00011699152,2.540668e-05,0.0,0.25,2.7346413,2.7626185,1.8897599,-6.352314,10.617874,0.7368422,0.3637523,0.40997229916897365,0.2074572127139286,0.9109612,0.2421592,True,3 vs Rest,3,Rest
A930015D03Rik,0.956,0.04400000000000004,3.078568062320689,5.7422996e-05,1.4424014e-05,0.0,0.25,2.7272031,2.8581815,2.3479698,-4.824765,11.842741,0.2963989,0.21191889,0.21052631578947376,0.1448655256723678,0.41201302,0.14498007,True,3 vs Rest,3,Rest
Airn,0.9596,0.04039999999999999,3.167686508894722,0.0002696536,5.03999e-05,0.0,0.25,2.725987,2.8055382,2.79474,-6.0568857,11.068029,1.8504148,0.39785987,0.44321329639889023,0.1635085574572077,2.659069,0.2904234,True,3 vs Rest,3,Rest
Heatr5a,0.957,0.04300000000000004,3.1026030536505993,4.7193385e-05,1.0606104e-05,0.0,0.25,2.7192645,2.7657933,2.0704234,-4.403515,9.7296915,0.24930736,0.19792137,0.182825484764543,0.1454156479217565,0.3424334,0.12650022,True,3 vs Rest,3,Rest
Rgma,0.959,0.041000000000000036,3.152318774704249,7.316083e-05,1.8232746e-05,0.0,0.25,2.7169077,2.8225727,2.0348015,-4.959943,8.769492,0.5983383,0.12866724,0.39889196675900146,0.09242053789730999,0.7728729,0.10256217,True,3 vs Rest,3,Rest
Adamts9,0.968,0.03200000000000003,3.409495882307477,0.00043904062,7.132373e-05,0.0,0.25,2.7158403,2.7819333,1.6842347,-2.6608524,7.090728,3.5734124,1.5124742,0.8033240997229866,0.4703545232273594,4.761007,0.9694715,True,3 vs Rest,3,Rest
Gm26885,0.958,0.04200000000000004,3.127177932030695,6.472064e-05,9.900101e-06,0.0,0.25,2.7146094,2.7533956,2.4003553,-5.278805,12.0591135,0.17728527,0.13789707,0.10526315789473688,0.08264058679706611,0.22289525,0.0870964,True,3 vs Rest,3,Rest
Zswim4,0.9592,0.04079999999999995,3.157417287630535,8.792598e-05,1.9223475e-05,0.0,0.25,2.7114847,2.7180076,1.9168746,-3.8964396,10.164781,0.40166223,0.38380116,0.25484764542936295,0.2585574572127029,0.52667004,0.25068465,True,3 vs Rest,3,Rest
Rfng,0.9536,0.0464,3.0229446320482345,3.4654324e-05,9.309799e-06,0.0,0.25,2.7051804,2.6728683,2.3896456,-7.1763277,11.159584,0.13296393,0.14908282,0.11080332409972303,0.13062347188263765,0.14840391,0.09105475,True,3 vs Rest,3,Rest
Eml6,0.9562,0.04379999999999995,3.0833330609571905,0.00010903174,2.0323656e-05,0.0,0.25,2.702728,2.7771964,2.3086174,-5.2106,9.326245,0.4570638,0.6598808,0.21329639889196683,0.29779951100243146,0.5621113,0.43800807,True,3 vs Rest,3,Rest
Afap1l2,0.9592,0.04079999999999995,3.157417287630535,0.00010384512,2.145615e-05,0.0,0.25,2.6990788,2.833592,2.2739851,-5.274295,9.624939,0.7340723,0.29193094,0.39335180055401536,0.1880195599021939,0.99660206,0.20183052,True,3 vs Rest,3,Rest
Cxadr,0.9696,0.030399999999999983,3.4624406882690915,0.00023377931,4.2995962e-05,0.0,0.25,2.6953847,2.7735863,1.5772336,-3.57516,8.514479,1.6703585,1.1014863,0.5817174515235427,0.4139364303178275,2.1768413,0.7189477,True,3 vs Rest,3,Rest
Casr,0.9578,0.042200000000000015,3.122218540340339,5.9706523e-05,1.121569e-05,0.0,0.25,2.6947339,2.7318296,2.572611,-6.5374126,12.688055,0.22437665,0.15519531,0.14404432132963993,0.0909535452322734,0.30604342,0.10241418,True,3 vs Rest,3,Rest
Ncam1,0.9706,0.02939999999999998,3.4969194327933892,0.00018208595,3.0948446e-05,0.0,0.25,2.688812,2.6743712,1.5668763,-3.7787857,8.501145,1.2243764,0.26864254,0.42105263157894585,0.1196821515892398,1.6102779,0.17661646,True,3 vs Rest,3,Rest
Eef2k,0.96,0.040000000000000036,3.1780535907646423,2.4164114e-05,6.1490564e-06,0.0,0.25,2.6838431,2.8807783,2.4197264,-8.179324,9.857281,0.20498604,0.15996301,0.18005540166204992,0.11784841075794407,0.26880834,0.11277121,True,3 vs Rest,3,Rest
Ripk4,0.9624,0.03759999999999997,3.2424258586979,5.4469325e-05,1.114251e-05,0.0,0.25,2.680641,2.69801,1.8337708,-5.368992,10.03361,0.27423814,0.31430253,0.20221606648199453,0.23722493887529592,0.33590767,0.1987706,True,3 vs Rest,3,Rest
Pxn,0.9628,0.03720000000000001,3.2535366861990203,6.265855e-05,1.36426415e-05,0.0,0.25,2.6794615,2.752746,1.7386296,-6.494069,10.235622,0.4127427,0.4142412,0.31301939058171696,0.3055012224938735,0.51582724,0.266134,True,3 vs Rest,3,Rest
