"","cytoGenes"
"2900040C04Rik",0.0176415060882642
"2900045O20Rik",0.0216239059093823
"2900052N01Rik",0.140062264331626
"2900060B14Rik",0.0886266532533822
"2900076A07Rik",0.0285387427117654
"2900079G21Rik",0.00917704661717851
"2900089D17Rik",-0.00256903829245033
"2900093K20Rik",0.0532672489868057
"2900097C17Rik",-0.0677915132479505
"3010003L21Rik",0.063056457798621
"3100003L05Rik",0.123872964304922
"3110001I22Rik",0.012578519451274
"3110004A20Rik",0.0530245231736328
"3110006O06Rik",-0.00887827531922981
"3110009E18Rik",0.097815794491473
"3110009F21Rik",0.00848223895954593
"3110015C05Rik",0.0126074329078633
"3110021N24Rik",-0.0546398997197074
"3110039M20Rik",0.0640227731392101
"3110040N11Rik",0.149372057962042
"3110045C21Rik",0.0422077196556881
"3110070M22Rik",0.0296774870860592
"3110082I17Rik",0.124297807134752
"3110082J24Rik",0.012810627906803
"3110099E03Rik",-0.063839592064456
"3200001D21Rik",0.00720709670651805
"3222401L13Rik",-0.0856429816778208
"3300002A11Rik",0.0212476783301411
"3300002I08Rik",-0.00534744773255363
"3300002P13Rik",0.022617366089603
"3300005D01Rik",0.00764355588193706
"3425401B19Rik",0.0856061260522534
"3830403N18Rik",-0.0187870773500634
"3830406C13Rik",0.108468912557017
"3830417A13Rik",-0.0129316654002564
"3930402G23Rik",-0.0278595505765018
"4430402I18Rik",0.037148716103738
"4631405J19Rik",0.0191701899938146
"4632404H12Rik",0.0125337234861481
"4632411P08Rik",0.00573215177488642
"4632428C04Rik",-0.00247494560392097
"4731419I09Rik",0.00835063603284351
"4732414G09Rik",0.0335471131254201
"4732419C18Rik",0.0301039569158074
"4732440D04Rik",0.00623776295581536
"4732463B04Rik",-0.0152894027653667
"4732465J04Rik",-0.0258795898884174
"4732471J01Rik",-0.0110896729025362
"4732487G21Rik",0.0168425683142023
"4732490B19Rik",-0.00308671240471526
"4732491K20Rik",-0.00693064529956777
"4732496C06Rik",-0.0323448540738884
"4831440D22Rik",-0.0379187788874924
"4833403J16Rik",-0.0253162896702779
"4833405L11Rik",0.00986093393415232
"4833407H14Rik",-0.0177234731840478
"4833413E03Rik",0.00591885410558416
"4833413G10Rik",0.00278229843882743
"4833418N02Rik",-0.0442698375915627
"4833420G17Rik",-0.01502038666454
"4833422C13Rik",-0.0514318630740587
"4833423E24Rik",-0.0490973626136532
"4833427G06Rik",0.0650599465246483
"4833428L15Rik",0.0136023688239349
"4833439L19Rik",0.0456088265378494
"4833445I07Rik",0.0678927379125032
"4921501I09Rik",0.00405426587093348
"4921504A21Rik",0.00223727992926442
"4921504E06Rik",0.0615231144667167
"4921507P07Rik",0.0264938426874063
"4921508D12Rik",0.0133341550970416
"4921509C19Rik",0.00829237593617721
"4921509O07Rik",0.0175555063722613
"4921511C10Rik",-0.0255792361050555
"4921511I17Rik",0.0140573132831247
"4921513I03Rik",-0.00143385007199349
"4921514A10Rik",0.00803979651627928
"4921516A02Rik",-0.00512904683379704
"4921518K17Rik",0.0238334974975479
"4921523L03Rik",0.0159509208246379
"4921524J17Rik",0.147296539321237
"4921534H16Rik",0.0381760837353723
"4921536K21Rik",0.0857701737401791
"4921539E11Rik",0.00743204833559731
"4921539H07Rik",0.0254135127360351
"4922502D21Rik",0.0599111213877434
"4930401A07Rik",0.014253843224221
"4930401O12Rik",0.00114197439469588
"4930402F06Rik",0.0193089393752928
"4930402H24Rik",-0.0845947246392741
"4930403D09Rik",0.0291201437987458
"4930403P22Rik",-0.0319855088603226
"4930404A12Rik",-0.00686935124920875
"4930404H11Rik",0.0111267102999052
"4930404H24Rik",0.00771792454504139
"4930404N11Rik",0.0253880490756422
"4930404O17Rik",0.00990021748703555
"4930407I10Rik",0.0347559498223862
"4930408O17Rik",-0.00373513261671271
