,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Twnk,0.929,0.07099999999999995,2.571428731691726,5.7422985e-05,1.4376339e-05,0.0,0.25,1.6853215,1.6777701,1.5696719,-3.4745407,7.848754,0.10249305,0.12388856,0.08310249307479227,0.11440426793123862,0.13314056,0.10945541,False,3 vs Rest,3,Rest
Stk38l,0.9284,0.0716,2.562367471540107,5.51248e-05,1.4614932e-05,0.0,0.25,1.6802617,1.6655388,1.4794635,-3.7468967,6.9675426,0.18559548,0.13159455,0.146814404432133,0.1179608772969766,0.23784426,0.12028055,False,3 vs Rest,3,Rest
Zbtb43,0.929,0.07099999999999995,2.571428731691726,5.589347e-05,1.6548716e-05,0.0,0.25,1.676629,1.690485,1.3787775,-3.4604692,6.606306,0.168975,0.14819206,0.1357340720221607,0.13337285121517453,0.21586421,0.1326591,False,3 vs Rest,3,Rest
Coro7,0.9278,0.07220000000000004,2.5533760186929015,4.2655516e-05,1.1706599e-05,0.0,0.25,1.6733952,1.7117591,1.6650269,-5.0255203,8.713261,0.13019386,0.09543569,0.10803324099722995,0.08654416123295774,0.16240397,0.07710073,False,3 vs Rest,3,Rest
AI661453,0.9288,0.07120000000000004,2.568400482282903,3.7519505e-05,9.848112e-06,0.0,0.25,1.6715134,1.7538142,1.8103588,-6.10625,6.986516,0.14681435,0.079430945,0.1135734072022161,0.07231772377000581,0.19873257,0.07076164,False,3 vs Rest,3,Rest
Ppip5k1,0.9318,0.06820000000000004,2.6146734986376408,3.5984194e-05,1.0591896e-05,0.0,0.25,1.6688358,1.722053,1.9717922,-6.935298,8.635498,0.11911352,0.076467104,0.1024930747922438,0.06935388263189082,0.16847798,0.06620854,False,3 vs Rest,3,Rest
Cdc6,0.9294,0.0706,2.5775089412682624,2.3869166e-05,5.040208e-06,0.0,0.25,1.66819,1.605876,2.5129228,-7.2871294,10.38859,0.074792236,0.022525193,0.05263157894736844,0.018968583283935983,0.069806956,0.017894046,False,3 vs Rest,3,Rest
Creb5,0.9438,0.05620000000000003,2.820997355052179,0.00011552926,4.1140585e-05,0.0,0.25,1.6653353,1.6056528,2.872832,-6.2248735,11.341867,0.49584502,0.22703023,0.16343490304709146,0.10847658565500864,0.72095513,0.19952418,True,3 vs Rest,3,Rest
Rfng,0.9324,0.0676,2.6241537869087113,3.4073855e-05,1.0397859e-05,0.0,0.25,1.6639293,1.6867423,1.6190692,-6.552534,7.9257727,0.13296393,0.11796088,0.11080332409972303,0.10847658565500864,0.14840391,0.101419136,False,3 vs Rest,3,Rest
Rab11fip1,0.928,0.07199999999999995,2.556365485657129,0.000108185384,3.271965e-05,0.0,0.25,1.6638832,1.627583,1.4944533,-3.807805,7.0735846,0.64819974,0.3752223,0.3047091412742378,0.2294013040901001,0.76162213,0.27946484,False,3 vs Rest,3,Rest
Ifit2,0.931,0.06899999999999995,2.6021526384934215,0.00011441401,3.8439757e-05,0.0,0.25,1.6589242,1.7037086,1.7177622,-4.7866507,7.7800455,0.4127424,0.31594548,0.17728531855955684,0.16775340841730838,0.4700781,0.26535842,False,3 vs Rest,3,Rest
St14,0.9306,0.06940000000000002,2.595942538551336,0.00017650206,5.944989e-05,0.0,0.25,1.6575439,1.6999207,1.4519231,-3.0217562,6.266403,1.0138503,0.60936576,0.41551246537395975,0.35151155898043757,1.3242798,0.51616114,False,3 vs Rest,3,Rest
Knl1,0.9466,0.0534,2.8750656948042224,4.7736292e-05,1.9840125e-05,0.0,0.25,1.6574554,1.7213717,2.9188757,-8.846715,11.757945,0.14127421,0.013040901,0.055401662049861515,0.010669828097213986,0.13983127,0.010748459,True,3 vs Rest,3,Rest
Napb,0.9298,0.07020000000000004,2.583621066529587,3.6510573e-05,9.444463e-06,0.0,0.25,1.6506226,1.6344829,2.2752316,-5.8429985,12.320145,0.07756232,0.030823948,0.05817174515235459,0.027860106698280995,0.1009688,0.031867247,False,3 vs Rest,3,Rest
C230037L18Rik,0.9366,0.06340000000000001,2.6927922882544832,2.2378128e-05,9.81162e-06,0.0,0.25,1.6458223,1.7495766,2.3932014,-7.061594,8.802485,0.058171727,0.06520451,0.05263157894736844,0.05690574985180788,0.07377959,0.05144087,True,3 vs Rest,3,Rest
