x,Neuroepithelium-a,Interneuron,Neuroepithelium-b,RGC-a,immature_neuron,Layer I,Pia,RGC-b,IPC-a,Endothelial cell,IPC-b (mitotic),Microglia,Layer V-VI-a,RGC-c,Layer-V-VI-b,Layer II-IV,Pericyte,Hippocampus,OPC
Adrm1,0.5015822,0.29463983,0.49432766,0.32928044,0.29296023,0.3275339,0.4539262,0.39286295,0.41257104,0.53375894,0.44118333,0.37722868,0.33986625,0.34596235,0.31331336,0.26873356,0.5663605,0.32955956,0.40044618
Adsl,0.26777893,0.0721915,0.22773613,0.1799955,0.06398821,0.097984254,0.16909596,0.19672056,0.12418714,0.14568792,0.08764669,0.1298393,0.09156336,0.17653427,0.09916867,0.06497829,0.075975604,0.08450823,0.14321047
Adss,0.54088473,0.20376585,0.54760563,0.37993065,0.2807145,0.50662696,0.42793688,0.38924587,0.3243685,0.7679959,0.41840944,0.47756988,0.35882235,0.42872107,0.42910275,0.46347487,0.29902878,0.50178766,0.3745862
Adssl1,0.0142408535,0.0,0.038232274,0.0010910569,0.00931313,0.006416036,0.0,0.0032141255,0.001966641,0.0,0.0,0.14925924,0.0033249517,0.0,0.0,0.0065531605,0.0,0.0065048,0.0029285096
Aebp1,0.0020047347,0.0,0.017970867,0.0017303374,0.0,0.0,0.7715753,0.0037771899,0.0061744153,0.0,0.0046135695,0.0,0.0,0.0,0.0,0.0013137335,0.32866773,0.0,0.031111509
Aebp2,0.39091274,0.13392109,0.31029636,0.2514919,0.098611265,0.121654406,0.27556086,0.30714214,0.12646964,0.2375228,0.1418032,0.38993093,0.05621145,0.36342582,0.07024504,0.08897993,0.068879135,0.092078626,0.32630223
Aen,0.041568987,0.012800376,0.041843973,0.023821434,0.02186203,0.0430123,0.017578624,0.021089809,0.0135109695,0.015999544,0.002081629,0.0,0.031005327,0.013584538,0.03056024,0.024352029,0.0,0.03457669,0.0
Aes,0.40591466,0.5691605,0.4116732,0.49484053,0.47993222,0.8000159,0.41058823,0.46386552,0.44044498,0.114070036,0.52284986,0.42109784,0.5224719,0.5028779,0.6645497,0.66554296,0.030453943,0.7095323,0.45844552
Afap1,0.056758564,0.4516763,0.12829252,0.056986645,0.44820622,0.4204636,0.28630182,0.05101475,0.6940266,0.13584872,0.4714681,0.09378159,0.13811849,0.11170285,0.13009964,0.41342697,0.24500917,0.34862903,0.10798686
Afap1l1,0.02243443,0.024208492,0.0,0.013554542,0.00888317,0.021822374,0.04050568,0.018377945,0.019420989,0.89765275,0.008817852,0.041740417,0.021837307,0.03486982,0.03000404,0.00916705,0.0,0.023635833,0.02424374
Afap1l2,0.0,0.0,0.05808402,0.0,0.0,0.0,0.026499141,0.0,0.0037849788,0.023729391,0.002143819,0.0,0.0,0.023174115,0.0,0.002517547,0.14393541,0.0,0.066748686
Aff1,0.07071279,0.0060249367,0.043843433,0.042561732,0.009779892,0.0,0.054089505,0.044345748,0.01641835,0.16779865,0.021042211,0.10249873,0.01996381,0.07040225,0.006568512,0.0014645755,0.072705515,0.01613002,0.051732853
Aff2,0.1349745,0.08262181,0.14049268,0.041909408,0.32663336,0.1364511,0.18474172,0.052553594,0.03690321,0.0,0.08712717,0.0,0.35485804,0.08580179,0.17319116,0.4575284,0.065368444,0.3760545,0.030378617
Aff3,0.0323749,0.038397193,0.014277447,0.029032303,0.27577135,0.11127462,0.10426822,0.0300569,0.11298175,0.0,0.13179773,0.0,0.24726768,0.05317497,0.21135594,0.21946488,0.0,0.13753416,0.039191503
Aff4,0.57628244,0.7254707,0.78909445,0.5938075,1.0200032,1.1836963,0.7785999,0.545014,0.99820256,0.8373777,0.79115385,0.5782038,1.0111984,0.64608824,0.963674,0.96697927,0.7086748,1.1753118,0.6868242
Afg3l1,0.43040842,0.26495308,0.45107552,0.2686687,0.2133496,0.22849993,0.30744132,0.30307165,0.20903346,0.4373811,0.26949918,0.38952112,0.25652105,0.38592523,0.29954767,0.2479999,0.16976233,0.27961704,0.41910604
Afg3l2,0.21831483,0.15271275,0.17463496,0.1499483,0.13464524,0.14768212,0.30442506,0.15218022,0.13055389,0.3677382,0.098714836,0.2856281,0.16127889,0.19736831,0.23223922,0.21334049,0.15332125,0.17887016,0.18801308
Afmid,0.0029100836,0.00231393,0.014740984,0.0038880426,0.0,0.007524823,0.0,0.0067706597,0.0,0.09507694,0.0084420405,0.0,0.0,0.009973087,0.0,0.0009645508,0.0,0.0,0.006641357
Aftph,0.1721098,0.20789364,0.15221716,0.15024957,0.24869597,0.27935237,0.14733633,0.16126463,0.14611347,0.19213474,0.17193851,0.40904653,0.2131889,0.18709998,0.30112052,0.2579241,0.0,0.3035986,0.22737987
Aga,0.096510276,0.021852834,0.15167138,0.10246924,0.045208044,0.0389471,0.17675994,0.08218001,0.11600335,0.09576442,0.08167981,0.38973635,0.02064816,0.080716684,0.033485245,0.013084247,0.28474143,0.0242645,0.14226213
Agap1,0.20558353,0.3093063,0.19663684,0.089844055,0.15583439,0.3998083,0.11814897,0.13047509,0.09134045,0.11832737,0.10623631,0.052407615,0.29268795,0.19576997,0.55842924,0.36492977,0.1816959,0.4394028,0.25195736
Agap2,0.012392583,0.19787721,0.008414495,0.0035182158,0.025465026,0.19184391,0.00798359,0.0021997145,0.0043373806,0.0,0.008439233,0.0,0.12390903,0.006950117,0.2565599,0.25173107,0.10771504,0.18000616,0.025346179
Agap3,0.1770918,0.282444,0.2794867,0.07631757,0.17686538,0.20319867,0.16990691,0.06917233,0.22684203,0.4242531,0.141034,0.021553593,0.22436532,0.120222285,0.36388427,0.33708635,0.0,0.34848902,0.14618585
Agbl2,0.0,0.0,0.0066785705,0.0011890624,0.0,0.0,0.012419541,0.0,0.0,0.0,0.0,0.0,0.0021699707,0.0,0.0,0.0,0.0,0.0036888358,0.0
Agbl3,0.018330375,0.015104309,0.03334483,0.030875895,0.015949894,0.023112983,0.029394267,0.012721603,0.014224587,0.019301334,0.005664216,0.0,0.013934756,0.014835624,0.027242132,0.024886921,0.0,0.0021418321,0.010547857
Agbl4,0.0064450717,0.0053010616,0.0021320926,0.0029423356,0.011180993,0.033183612,0.0,0.0,0.019062055,0.0,0.004811309,0.0,0.0,0.014832766,0.0022900295,0.0,0.0,0.002453174,0.0
Agbl5,0.0397969,0.054016463,0.08332815,0.037600838,0.036974937,0.040331103,0.03727194,0.032045804,0.05344673,0.0065782117,0.039722834,0.0,0.038316958,0.03200889,0.03686085,0.046037145,0.0,0.052649625,0.022034949
Ager,0.0074029104,0.0034765857,0.0069047487,0.010267555,0.0029440278,0.0,0.013460614,0.012893637,0.0068078693,0.051306378,0.0014290223,0.0,0.0,0.008699346,0.0025221002,0.0013446548,0.0,0.009846116,0.0020099957
Agfg1,0.24331892,0.18167175,0.21624993,0.16321538,0.25837156,0.23838086,0.2662073,0.18149455,0.22073008,0.66786677,0.20579663,0.23849219,0.25653842,0.24922931,0.2925668,0.3238574,0.15749446,0.3392396,0.18388939
Agfg2,0.16953982,0.019111324,0.14233273,0.0862946,0.043572746,0.13889982,0.08509038,0.12355742,0.06739033,0.08068019,0.120320804,0.07831701,0.04461878,0.1841051,0.050055943,0.078945026,0.13359742,0.100134194,0.13783203
Aggf1,0.491728,0.3818914,0.48092315,0.3897933,0.38453397,0.43934736,0.3742869,0.48594818,0.45938456,0.4956683,0.47239843,0.5269731,0.39745533,0.52669394,0.41253433,0.3670119,0.036722578,0.44847137,0.4667389
Agk,0.03663498,0.034606244,0.053160843,0.020385895,0.019571913,0.021856913,0.028810088,0.021177799,0.0256015,0.0,0.029678253,0.041740417,0.022365484,0.044281643,0.05955608,0.04255908,0.030453943,0.037252314,0.042063564
Agl,0.12657571,0.118328065,0.112597585,0.10262948,0.12980755,0.23940608,0.13949147,0.11002097,0.08811828,0.1967674,0.06637201,0.19513333,0.10330255,0.15278706,0.19793932,0.17265885,0.06597285,0.17656219,0.1455847
Agmo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025449956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ago1,0.53492326,0.3212472,0.58078206,0.3117831,0.5824988,0.66379434,0.18887825,0.28677502,0.8369844,0.23648533,0.6898138,0.3522859,0.39174163,0.41346815,0.45194826,0.45435494,0.3132437,0.44154388,0.34130186
Ago2,0.55289584,0.17519921,0.42181963,0.21209478,0.11134858,0.31374735,0.5230776,0.2511437,0.19112933,0.30455905,0.20154552,0.21101424,0.17572205,0.27498293,0.14660788,0.15172412,0.26073882,0.1706763,0.27606192
Ago3,0.1318099,0.15887964,0.20125827,0.08582085,0.09498529,0.18537599,0.22388242,0.12510008,0.11752728,0.40218297,0.082976334,0.14728579,0.10181279,0.12759835,0.15860401,0.17429034,0.046895005,0.16188793,0.19360675
Ago4,0.0055351383,0.08021267,0.019708281,0.035618924,0.05746715,0.091771506,0.022710778,0.013674355,0.054877125,0.045285292,0.018071694,0.1482004,0.04092524,0.016178822,0.09685145,0.09413036,0.0,0.07423976,0.058564745
Agpat1,0.10549862,0.15298983,0.10973963,0.06845099,0.118996054,0.16491647,0.099282704,0.097608276,0.09688834,0.16114384,0.09371765,0.11127428,0.108350284,0.099053055,0.114983276,0.13675757,0.22917902,0.17522137,0.15403263
Agpat2,0.016398182,0.0,0.013018288,0.008438062,0.0011293077,0.0076361937,0.08495992,0.015278561,0.0028766193,0.0,0.0019585323,0.021553593,0.00090614136,0.008470784,0.0,0.0,0.06789289,0.0,0.017317437
Agpat3,0.14539468,0.14277202,0.13822277,0.1453887,0.11223053,0.16299173,0.072428934,0.108131036,0.16089502,0.09681203,0.084040426,0.3879285,0.13199228,0.16478768,0.14119183,0.1734717,0.042170502,0.17960943,0.30245823
Agpat4,0.17177387,0.19411409,0.18435152,0.111229494,0.14622313,0.30147102,0.18986192,0.099447876,0.16629177,0.26170886,0.12821645,0.031795632,0.22695087,0.13390458,0.2378533,0.2159992,0.0,0.19042575,0.08582763
Agpat5,0.354017,0.2159807,0.34310332,0.24776709,0.21637338,0.36825612,0.2247149,0.31174546,0.17120683,0.48823115,0.21304937,0.40828422,0.32429498,0.37020805,0.41512874,0.3429651,0.23319355,0.35882515,0.3973515
Agpat6,0.36140785,0.25111738,0.40393645,0.24256827,0.29329914,0.34679118,0.30430847,0.25596803,0.25102007,0.37358302,0.26972353,0.2899352,0.4220089,0.29754588,0.4931949,0.286641,0.15122582,0.34153056,0.22105446
Agps,0.27409384,0.09323019,0.27314115,0.0758422,0.09223682,0.15263204,0.36231488,0.120740436,0.08691856,0.115488835,0.10560484,0.6145082,0.10817063,0.16367944,0.13890631,0.09012863,0.046895005,0.08505388,0.20624338
Agr3,0.0011582456,0.0,0.0,0.0,0.0,0.005537079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrn,0.15129225,0.2650434,0.22471486,0.20809838,0.19458893,0.260499,0.049090054,0.19013952,0.11839514,0.5303104,0.09720929,0.0,0.16569409,0.25450596,0.19953804,0.30661535,0.62828356,0.29422385,0.3790655
Agrp,0.0,0.0,0.0,0.0031681056,0.0026008664,0.011300034,0.0,0.008162993,0.0016360019,0.0,0.0033419833,0.0,0.0,0.0,0.0,0.003075742,0.0,0.0,0.0
Agtpbp1,0.096716866,0.2405038,0.07107392,0.069117285,0.13130596,0.4068652,0.11352966,0.08221676,0.06642574,0.048338562,0.059293486,0.15224645,0.23469603,0.085862584,0.49576315,0.4519609,0.17919433,0.42364728,0.14472717
Agtr1a,0.0060792537,0.0,0.010712154,0.0012842321,0.0028631527,0.0,0.0,0.0013124363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048941867,0.0
Agtr1b,0.0,0.0,0.0,0.0,0.0,0.0074539986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agtrap,0.0719086,0.002029097,0.1269465,0.04217818,0.0,0.01967229,0.10581866,0.042921122,0.013069084,0.031985518,0.011920442,0.16336286,0.0,0.04504642,0.0,0.0,0.0,0.003489194,0.06909089
Ahctf1,0.24402153,0.14157884,0.191074,0.10966268,0.1021957,0.16977923,0.22159284,0.14977062,0.10575441,0.1425949,0.1966732,0.07389605,0.11928308,0.20197284,0.16642922,0.120404676,0.30757928,0.17756964,0.16843112
