,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,mean,std,cytoGenes,gcsGenes
Bnip3l,False,33404,3.206894,39.04490793963614,175741.0,33404,2.3635728960255965e-12,0.6638254215577234,0.5215178381178,0.481614235843812
Pfn1,False,40076,6.7170854,26.869947628692902,368103.0,40076,-7.832302120321982e-11,0.6392314618585209,0.520341915380613,0.481337644767896
Sem1,False,38501,5.109524,29.74398277403697,280007.0,38501,2.077106937201448e-11,0.547700764771709,0.518993783323558,0.481195901099306
Psmb10,False,32555,3.2229886,40.59414974179303,176623.0,32555,8.657219381472949e-11,0.7158399793845216,0.518666759062949,0.481190623315739
Rpl32,False,46765,20.620153,14.663965986022154,1130005.0,46765,5.6167427063650966e-11,0.8215659871798773,0.517868307754127,0.481094045276646
Cox6b1,False,39650,5.9727197,27.647305706100255,327311.0,39650,-1.2577748250972954e-10,0.5297318829959353,0.517021934185511,0.479839091260606
Il4i1,False,24867,3.752395,54.6230908195106,205635.0,24867,1.176514126532212e-10,0.9347177914243935,0.516520530134606,0.479140710403113
Rpl10,False,43157,12.908651,21.247787449134137,707407.0,43157,-5.407768562360909e-11,0.7593298241530285,0.516398667955928,0.479066934653834
Rpl29,False,40765,7.8826847,25.612671301618583,431979.0,40765,7.017499567796021e-11,0.704010096166429,0.515201583965037,0.477913254295907
Tomm7,False,36528,3.9648182,33.344282038648934,217276.0,36528,-4.083558963041698e-11,0.5596328122001776,0.514940847614304,0.477761578163818
Rps25,False,42291,8.445065,22.828050583018555,462798.0,42291,7.906952874566507e-11,0.6235928848060616,0.513602232192157,0.476233369670485
Rps13,False,44645,13.837996,18.53250853086622,758336.0,44645,1.1672387077666214e-10,0.7232844471037811,0.513187063781751,0.475311573955168
Atp5g2,False,36479,4.263316,33.43369646539297,233634.0,36479,7.576745834605686e-11,0.5949776865081907,0.512830849293692,0.4749011127093
Rpl18,False,45113,14.253517,17.678509516249708,781107.0,45113,-1.190748743114134e-10,0.6801299853039875,0.512273978106126,0.474780227227702
Tmem158,False,17443,1.4030036,68.17028886334191,76886.0,17443,7.806470528388569e-11,0.6394461316557674,0.510451052593412,0.474410003353025
Rpl22,False,42798,9.579041,21.902884983850658,524941.0,42798,-1.2014153784627043e-10,0.6907953792565835,0.510343098914933,0.473866450822667
Rpl27a,False,47982,22.28326,12.443203591175344,1221145.0,47982,-1.2529684138632385e-10,0.6850626986841276,0.510096401814932,0.472596659423843
