,table
six5,s0
snrpd2,s0
smg9,s0
snrpa,s0
shkbp1,s0
sptbn4,s0
sertad3,s0
sertad1,s0
selenov,s0
supt5,s0
samd4b,s0
sycn,s0
sars2,s0
sirt2,s0
spred3,s0
spint2,s0
sipa1l3,s0
syne4,s0
sdhaf1,s0
sbsn,s0
scn1b,s0
scgb2b7,s0
scgb2b11,s0
scgb2b24,s0
scgb2b26,s0
scgb2b27,s0
scgb1b27,s0
slc7a10,s0
siglecf,s0
siglecg,s0
siglece,s0
shank1,s0
syt3,s0
spib,s0
scaf1,s0
slc17a7,s0
slc6a16,s0
snrnp70,s0
sec1,s0
sphk2,s0
spaca4,s0
sult2b1,s0
syngr4,s0
sergef,s0
saal1,s0
saa3,s0
saa4,s0
saa1,s0
saa2,s0
spty2d1,s0
slc17a6,s0
svip,s0
siglech,s0
snrpn,s0
snrpa1,s0
selenos,s0
synm,s0
st8sia2,s0
slco3a1,s0
sv2b,s0
sema4b,s0
sec11a,s0
sh3gl3,s0
saxo2,s0
stard5,s0
sytl2,s0
serpinh1,s0
slco2b1,s0
spcs2,s0
stard10,s0
stim1,s0
smpd1,s0
syt9,s0
stk33,s0
st5,s0
scube2,s0
swap70,s0
sbf2,s0
spon1,s0
sox6,s0
sox6os,s0
smg1,s0
syt17,s0
scnn1g,s0
scnn1b,s0
slc5a11,s0
sbk1,s0
spns1,s0
sh2b1,s0
sgf29,s0
sult1a1,s0
slx1b,s0
sez6l2,s0
spn,s0
sept1,s0
sephs2,s0
srcap,s0
setd1a,s0
stx1b,s0
stx4a,s0
slc5a2,s0
sec23ip,s0
stk32c,s0
sprn,s0
syce1,s0
scgb1c1,s0
sirt3,s0
sigirr,s0
sct,s0
slc25a22,s0
syt8,s0
slc22a18,s0
shank2,s0
syne1,s0
sash1,s0
samd5,s0
stxbp5,s0
shprh,s0
stx11,s0
sf3b5,s0
slc35d3,s0
sgk1,s0
slc2a12,s0
slc18b1,s0
stx7,s0
smlr1,s0
samd3,s0
soga3,s0
slc16a10,s0
slc22a16,s0
smpd2,s0
sesn1,s0
snx3,s0
sec63,s0
scml4,s0
sobp,s0
sim1,s0
slc35f1,s0
serinc1,s0
smpdl3a,s0
sh3rf3,s0
sept10,s0
sowahc,s0
spock2,s0
slc29a3,s0
sgpl1,s0
sar1a,s0
supv3l1,s0
srgn,s0
stox1,s0
slc25a16,s0
sirt1,s0
slc16a9,s0
specc1l,s1
snrpd3,s1
susd2,s1
smarcb1,s1
s100b,s1
spatc1l,s1
slc19a1,s1
sumo3,s1
syde1,s1
slc1a6,s1
shc2,s1
sbno2,s1
stk11,s1
scamp4,s1
sf3a2,s1
sppl2b,s1
slc39a3,s1
sgta,s1
smim24,s1
s1pr4,s1
sirt6,s1
slc41a2,s1
syn3,s1
stab2,s1
sycp3,s1
spic,s1
slc5a8,s1
slc17a8,s1
scyl2,s1
slc25a3,s1
snrpf,s1
socs2,s1
slc6a15,s1
syt1,s1
slc35e3,s1
srgap1,s1
slc16a7,s1
slc26a10,s1
stac3,s1
shmt2,s1
stat6,s1
spryd4,s1
stat2,s1
slc39a5,s1
smarcc2,s1
suox,s1
sarnp,s1
stxbp2,s1
snapc2,s1
shcbp1,s1
spaca7,s1
spag11b,s1
slc25a15,s1
smim19,s1
slc20a2,s1
sfrp1,s1
star,s1
smim18,s1
saraf,s1
sgcz,s1
slc7a2,s1
sorbs2,s1
sorbs2os,s1
snx25,s1
slc25a4,s1
stox2,s1
spcs3,s1
scrg1,s1
sap30,s1
sh3rf1,s1
spock3,s1
sgo2b,s1
sh2d4a,s1
slc18a1,s1
sugp1,s1
slc25a42,s1
sugp2,s1
ssbp4,s1
slc5a5,s1
slc27a1,s1
slc35e1,s1
smim7,s1
sin3b,s1
slc10a7,s1
smad1,s1
smarca5,s1
scoc,s1
samd1,s1
syce2,s1
siah1a,s1
snx20,s1
sall1,s1
slc6a2,s1
slc12a3,s1
setd6,s1
sap18b,s1
slc38a7,s1
slc9a5,s1
slc12a4,s1
slc7a6,s1
slc7a6os,s1
smpd3,s1
sntb2,s1
sf3b3,s1
st3gal2,s1
syce1l,s1
sdr42e1,s1
slc38a8,s1
slc7a5,s1
snai3,s1
spg7,s1
sult5a1,s1
spata33,s1
spata2l,s1
spire2,s1
sprtn,s1
sipa1l2,s1
slc35f3,s1
synpr,s1
slc4a7,s1
saysd1,s1
synpo2l,s1
sec24c,s1
samd8,s1
slmapos2,s1
slmap,s1
selenok,s1
sfmbt1,s1
spcs1,s1
smim4,s1
stab1,s1
sema3g,s1
sh3bp5,s1
syt15,s1
sncg,s1
sh2d4b,s1
sftpd,s1
styx,s1
samd4,s1
socs4,s1
slc39a2,s1
supt16,s1
sall2,s1
slc7a7,s1
slc7a8,s1
slc22a17,s1
sdr39u1,s1
sap18,s1
ska3,s1
setdb2,s1
shisa2,s1
spata13,s1
sacs,s1
sgcg,s1
spryd7,s1
serpine3,s1
sox7,s1
scara5,s1
scara3,s1
stmn4,s1
stc1,s1
slc25a37,s1
synb,s1
sorbs3,s1
slc39a14,s1
sftpc,s1
sucla2,s1
siah3,s1
slc25a30,s1
serp2,s1
sugt1,s1
scel,s1
slain1,s1
slain1os,s1
spry2,s1
slitrk1,s1
slitrk6,s1
slitrk5,s1
sox21,s1
stk24,s1
slc15a1,s1
sesn3,s1
smco4,s1
slc36a4,s1
s1pr2,s1
s1pr5,s1
slc44a2,s1
smarca4,s1
spc24,s1
swsap1,s1
sept7,s1
snx19,s1
st14,s1
st3gal4,s1
srpr,s1
stt3a,s1
slc37a2,s1
siae,s1
spa17,s1
scn3b,s1
sorl1,s1
sc5d,s1
slc37a4,s1
scn2b,s1
scn4b,s1
sidt2,s1
sik3,s1
sdhd,s1
sik2,s1
slc35f2,s1
sln,s1
sh2d7,s1
scaper,s1
snx33,s1
snupn,s1
sin3a,s1
scamp5,s1
scamp2,s1
sema7a,s1
stra6,s1
stoml1,s1
senp8,s1
skor1,s1
smad3,s1
smad6,s1
