,table
eno1b,e
elac1,e
epg5,e
eif1ad,e
efemp2,e
ehbp1l1,e
ehd1,e
esrra,e
eml3,e
eef1g,e
ermp1,e
exoc6,e
entpd1,e
exosc1,e
entpd7,e
erlin1,e
eif3a,e
il17a,i
il17f,i
imp4,i
inpp4a,i
il1r2,i
il1r1,i
il1rl2,i
il1rl1,i
il18r1,i
il18rap,i
inpp1,i
ica1l,i
icos,i
ino80d,i
idh1,i
ikzf2,i
igfbp2,i
igfbp5,i
inha,i
irs1,i
itm2c,i
inpp5d,i
ilkap,i
ing5,i
inhbb,i
insig2,i
il10,i
ikbke,i
ipo9,i
ivns1abp,i
ier5,i
ildr2,i
itln1,i
igsf8,i
igsf9,i
ifi206,i
ifi214,i
ifi213,i
ifi209,i
ifi208,i
ifi207,i
ifi204,i
ifi211,i
ifi203,i
ifi205,i
itpkb,i
iars2,i
ints7,i
irf6,i
itih2,i
itih5,i
il2ra,i
il15ra,i
itga8,i
il1rn,i
inpp5e,i
ier5l,i
itgb6,i
ifih1,i
itga6,i
itga4,i
itgav,i
immp1l,i
inafm2,i
ivd,i
ino80,i
itpka,i
itpripl1,i
il1a,i
il1b,i
idh3b,i
itpa,i
ism1,i
insm1,i
id1,i
itch,i
ift52,i
il13ra1,i
ints6l,i
ids,i
idh3g,i
irak1,i
ikbkg,i
igbp1,i
il2rg,i
itgb1bp2,i
itm2a,i
il13ra2,i
iqsec2,i
il7,i
impa1,i
il2,i
intu,i
igsf10,i
il12a,i
ift80,i
insrr,i
isg20l2,i
iqgap3,i
il6ra,i
ints3,i
ilf2,i
itga10,i
igsf3,i
i830077j02rik,i
ints12,i
ifi44,i
ints8,i
ifnk,i
il11ra1,i
invs,i
inip,i
ift74,i
itgb3bp,i
insl5,i
ipp,i
ipo13,i
inpp5b,i
iqcc,i
ifnlr1,i
id3,i
iffo2,i
igsf21,i
icmt,i
ints11,i
isg15,i
insig1,i
il6,i
ift172,i
igfbp7,i
idua,i
iscu,i
iqcd,i
ift81,i
ift22,i
irs3,i
ints1,i
iqce,i
ica1,i
ing3,i
impdh1,i
irf5,i
igf2bp3,i
inmt,i
il12rb2,i
il23r,i
immt,i
ino80b,i
isy1,i
iqsec1,i
il5ra,i
itpr1,i
il17re,i
il17rc,i
irak2,i
ift122,i
il17ra,i
ing4,i
iffo1,i
itfg2,i
itpr2,i
ints13,i
ipo8,i
il11,i
isoc2b,i
isoc2a,i
inafm1,i
irf2bp1,i
igsf23,i
irgc1,i
irgq,i
itpkc,i
igflr1,i
iglon5,i
il4i1,i
irf3,i
izumo1,i
igf1r,i
isg20,i
idh2,i
iqgap1,i
il16,i
ints4,i
inppl1,i
il18bp,i
ilk,i
ipo7,i
insc,i
itpripl2,i
iqck,i
igsf6,i
il4ra,i
il21r,i
il27,i
ino80e,i
itgal,i
itgam,i
itgax,i
itgad,i
