,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Cux1,0.9397276732078494,0.060272326792150555,2.7467168957733157,0.00020580631,7.9959864e-05,0.0,0.25,1.5437583,1.5451927,0.9237505,-1.7833223,4.4920235,0.69673914,0.8467863,0.3839383938393751,0.43562753036444746,1.863356,0.6820155,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Elk3,0.9319183019623548,0.06808169803764519,2.616536590100242,9.5811265e-05,3.7864964e-05,0.0,0.25,1.542693,1.4671564,1.0880904,-2.4999676,5.5942373,0.36633787,0.41915217,0.2636596993032635,0.26068376068379084,1.1707127,0.30514875,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Hes1,0.8958750500600721,0.10412494993992794,2.1522092455984154,0.0002030529,0.000106454434,0.0,0.25,1.5338674,1.4652886,1.6200429,-5.285763,7.9515095,0.5031194,1.270567,0.2827282728272812,0.3065677013045853,1.5442909,0.96619797,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp827,0.9351221465758911,0.0648778534241089,2.668170691428614,3.6246172e-05,1.48507615e-05,0.0,0.25,1.5325705,1.4973793,1.0442697,-1.7110987,5.023465,0.13421324,0.14120737,0.10891089108910924,0.10526315789473327,0.38868937,0.11000456,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Tcf12,0.9485382458950741,0.05146175410492593,2.914083034252022,0.00023995327,9.4574534e-05,0.0,0.25,1.529954,1.5035572,0.8921358,-1.5918989,5.3022776,0.8841241,1.1923224,0.396773010634387,0.5175888439047294,2.1732085,0.9007932,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Cbx2,0.9255106127352823,0.07448938726471765,2.5196888131187234,2.5667114e-05,9.833213e-06,0.0,0.25,1.5297593,1.5501246,1.1448443,-2.3422384,6.380082,0.086175166,0.07746281,0.0784745141180787,0.06644174538911227,0.28088972,0.061094496,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Nfix,0.9431317581097317,0.05686824189026829,2.8084687836071756,0.00028211853,0.000114831535,0.0,0.25,1.5180131,1.5728345,0.8751227,-1.5592604,4.7748537,0.97140205,1.3678356,0.5221855518885068,0.5665766981557541,3.117341,1.0818927,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp516,0.9321185422507008,0.06788145774929921,2.619696945743342,7.0663475e-05,2.9009088e-05,0.0,0.25,1.5076694,1.5073991,1.0058734,-1.8830175,5.283761,0.23212284,0.286731,0.1771177117711777,0.20121457489880035,0.6712494,0.22097614,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp369,0.935522627152583,0.06447737284741695,2.6747908345597105,2.7024076e-05,1.0670619e-05,0.0,0.25,1.4985634,1.4622569,0.92875844,-1.0866404,6.265341,0.07847441,0.09257793,0.07297396406307317,0.08205128205127969,0.25007862,0.0772477,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Maf,0.9249098918702443,0.0750901081297557,2.5110073620987343,0.00016533249,7.03481e-05,0.0,0.25,1.4958833,1.4421878,1.0375803,-2.4716883,5.7331915,0.43821216,0.94588834,0.26696002933626656,0.3682411156095944,1.3860571,0.6723999,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Glis2,0.9287144573488186,0.07128554265118137,2.567107657450131,2.1341602e-05,9.016346e-06,0.0,0.25,1.492682,1.4066534,1.0145265,-1.9206467,6.1093235,0.07040695,0.054610413,0.06637330399706655,0.047233468286099325,0.21646442,0.041340858,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp407,0.9237084501401682,0.07629154985983178,2.49383418818094,9.6531214e-05,4.138175e-05,0.0,0.25,1.4843264,1.4379864,1.0432874,-1.680172,5.2231092,0.31719893,0.512841,0.194352768610195,0.3044984255510985,0.8433332,0.39166838,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Bcl6,0.9173007609130958,0.08269923908690424,2.40622489090717,6.244215e-05,2.6141366e-05,0.0,0.25,1.4806901,1.4184656,1.1237955,-2.1116076,6.2868567,0.20315334,0.30733037,0.13017968463513058,0.1901034637876864,0.46953723,0.24387403,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Tead1,0.9329195034040849,0.06708049659591508,2.6324254416361534,0.00016517358,6.82387e-05,0.0,0.25,1.4680346,1.4365358,0.93685216,-1.3213339,5.2792873,0.5841598,0.8185811,0.33333333333332815,0.416374269005918,1.5873771,0.6365363,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zbtb10,0.9173007609130958,0.08269923908690424,2.40622489090717,6.0670616e-05,2.4251254e-05,0.0,0.25,1.4399183,1.4293375,1.1106814,-3.4974356,6.754774,0.26549298,0.36018378,0.15108177484415156,0.2197031039136499,0.5640472,0.26217058,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Isl1,0.9267120544653584,0.07328794553464157,2.537246629254961,0.00014446105,7.165519e-05,0.0,0.25,1.435321,1.4992023,1.2349182,-3.962122,5.2337723,0.4756171,0.63755774,0.32783278327832305,0.2879892037787146,1.6152263,0.50295573,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Bach1,0.9431317581097317,0.05686824189026829,2.8084687836071756,0.00016505641,6.717794e-05,0.0,0.25,1.4344062,1.424326,0.8603998,-1.6577187,4.518693,0.5863615,0.8976589,0.3502016868353438,0.45713000449850605,1.6846452,0.64331365,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Ets1,0.9223067681217461,0.07769323187825394,2.4741096228884043,4.633925e-05,2.1674718e-05,0.0,0.25,1.4285914,1.3732996,1.1514902,-2.6434402,5.445567,0.1316463,0.1725169,0.09864319765309894,0.10976158344579016,0.35488632,0.12903163,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp462,0.9277132559070885,0.07228674409291147,2.55208179952502,9.871067e-05,4.38908e-05,0.0,0.25,1.4250307,1.3885083,0.98709273,-1.5891953,5.6256027,0.35240275,0.5378137,0.22698936560322774,0.2966261808367465,0.9581155,0.39789945,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp629,0.9219062875450541,0.0780937124549459,2.4685339135138973,3.9834777e-05,1.6222992e-05,0.0,0.25,1.4035137,1.3402805,0.91168827,-1.2774191,5.2281733,0.10194338,0.15533327,0.09350935093509379,0.13117408906882289,0.33411482,0.12683274,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Rbak,0.9154985983179815,0.08450140168201847,2.382700603460473,2.4597843e-05,1.0059435e-05,0.0,0.25,1.4016145,1.33388,1.083035,-1.798995,5.3644075,0.06894014,0.077957615,0.06417308397506434,0.07206477732793339,0.2453978,0.07119447,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp606,0.9257108530236283,0.07428914697637168,2.5225969375741437,2.6006497e-05,1.0695471e-05,0.0,0.25,1.3954992,1.3695226,0.9550272,-1.9435158,5.6221027,0.08287484,0.08457063,0.07627429409607649,0.07629329734592687,0.27683255,0.06833152,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
E4f1,0.9195034040849018,0.08049659591509817,2.435618736026968,5.5014163e-05,2.280686e-05,0.0,0.25,1.3839117,1.3580761,0.9997152,-1.5898066,4.784768,0.10634381,0.18934312,0.09754308764209783,0.1589293747188525,0.39591047,0.17756933,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp395,0.9044853824589507,0.09551461754104928,2.248086751126262,3.074844e-05,1.5433208e-05,0.0,0.25,1.3753192,1.3175106,1.3969431,-3.0666542,6.349596,0.08434166,0.087944575,0.07407407407407428,0.07242465137201794,0.2885154,0.08982619,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Ebf1,0.9177012414897877,0.08229875851021229,2.411515759401173,9.594957e-05,4.4153578e-05,0.0,0.25,1.3748596,1.3192158,1.1563383,-3.5513582,6.370393,0.18115123,0.4130342,0.09717638430509747,0.17260458839406967,0.547984,0.32201657,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp644,0.9395274329195034,0.06047256708049664,2.7431870376779197,0.00021268692,9.03252e-05,0.0,0.25,1.3731683,1.3536735,0.8001365,-1.0013342,4.6516457,0.6875737,0.98205227,0.4327099376604204,0.5237067026541686,2.2370977,0.8073038,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Irf7,0.9106928313976772,0.0893071686023228,2.3221238018579258,0.0003360099,0.00016854901,0.0,0.25,1.3683116,1.3650484,1.632239,-4.640875,6.321225,1.1983871,1.208437,0.5430876420975294,0.4273954116060108,4.409225,1.3235339,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
