,table
brinp1,b
bnc2,b
b020004j07rik,b
bb031773,b
bsnd,b
btf3l4,b
bend5,b
btbd19,b
b4galt2,b
bmp8b,b
bmp8a,b
bsdc1,b
bc080695,b
bc039966,b
b230104i21rik,b
b3galt6,b
babam2,b
bloc1s4,b
bod1l,b
bst1,b
bend4,b
bc037156,b
bc051076,b
btc,b
bmp2k,b
bmp3,b
bc005561,b
barhl2,b
brdt,b
bicdl1,b
b230112j18rik,b
bc051077,b
brap,b
bcl7a,b
b3gnt4,b
bri3bp,b
bud23,b
bcl7b,b
baz1b,b
brat1,b
bc030343,b
bhlha15,b
bri3,b
baiap2l1,b
bud31,b
b230303o12rik,b
bc028471,b
b3glct,b
brca2,b
bet1,b
bmt2,b
bc049739,b
bpgm,b
braf,b
bb365896,b
bola3,b
bmp10,b
bc048671,b
bhlhe40,b
brpf1,b
brk1,b
bms1,b
b4galnt3,b
bcl2l13,b
bid,b
bc035044,b
bcl2l14,b
borcs5,b
bc049715,b
b230110g15rik,b
bcat1,b
bhlhe41,b
bicd1,b
brsk1,b
bsph1,b
bsph2,b
bicra,b
bbc3,b
bloc1s3,b
bcam,b
bcl3,b
b3gnt8,b
bckdha,b
b9d2,b
bc026762,b
bc024978,b
blvrb,b
b230322f03rik,b
bcl2l12,b
bax,b
bcat2,b
b230209e15rik,b
bc046251,b
blm,b
bc048679,b
btbd1,b
bnc1,b
b3gnt6,b
bc051019,b
btbd10,b
b230311b06rik,b
bola2,b
bcl7c,b
bckdk,b
bc017158,b
bag3,b
btbd16,b
bub3,b
bccip,b
bnip3,b
bet1l,b
b4galnt4,b
brsk2,b
bc1,b
b930025p03rik,b
b830042i05rik,b
b020031h02rik,b
bb014433,b
bag4,b
brf2,b
b930018h19rik,b
b430010i23rik,b
bc030500,b
b230317f23rik,b
borcs8,b
babam1,b
bst2,b
b3gnt3,b
best2,b
brd7,b
bbs2,b
bean1,b
b3gnt9,b
bcar1,b
bco1,b
banp,b
birc2,b
birc3,b
bbs9,b
bmper,b
b3gat1,b
barx2,b
bsx,b
bcl9l,b
bc049987,b
bc049352,b
bace1,b
bud13,b
bco2,b
btg4,b
bbs4,b
b930092h01rik,b
bc050972,b
b230323a14rik,b
bnip2,b
bc065403,b
bcl2l10,b
bmp5,b
bckdhb,b
bcl2a1d,b
bcl2a1a,b
bcl2a1b,b
bc043934,b
bfsp2,b
bsn,b
bc048562,b
bcl2a1c,b
b020014a21rik,b
b430219n15rik,b
b230208h11rik,b
b230364g03rik,b
bclaf1,b
bc048559,b
bend3,b
bves,b
bb019430,b
bicc1,b
bcr,b
bsg,b
btbd2,b
bc025920,b
bc024063,b
btbd11,b
bpifc,b
btg1,b
b530045e10rik,b
bbs10,b
best3,b
bc048403,b
